fecha,mes,anio,linea,tipo_pago,afluencia
2022-01-06,Enero,2022,Línea 8,Boleto,0
2022-01-06,Enero,2022,Línea 8,Prepago,0
2022-01-06,Enero,2022,Línea 8,Gratuidad,0
2022-01-06,Enero,2022,Línea 9,Boleto,3793
2022-01-06,Enero,2022,Línea 9,Prepago,1613
2022-01-06,Enero,2022,Línea 9,Gratuidad,3138
2022-01-06,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-06,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-06,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-07,Enero,2022,Línea 1,Boleto,35890
2022-01-07,Enero,2022,Línea 1,Prepago,14920
2022-01-07,Enero,2022,Línea 1,Gratuidad,21149
2022-01-07,Enero,2022,Línea 1 Nochebús,Boleto,413
2022-01-07,Enero,2022,Línea 1 Nochebús,Prepago,153
2022-01-07,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-07,Enero,2022,Línea 2,Boleto,10248
2022-01-07,Enero,2022,Línea 2,Prepago,4036
2022-01-07,Enero,2022,Línea 2,Gratuidad,6803
2022-01-07,Enero,2022,Línea 3,Boleto,5616
2022-01-07,Enero,2022,Línea 3,Prepago,3479
2022-01-07,Enero,2022,Línea 3,Gratuidad,4706
2022-01-07,Enero,2022,Línea 4,Boleto,6963
2022-01-07,Enero,2022,Línea 4,Prepago,0
2022-01-07,Enero,2022,Línea 4,Gratuidad,2443
2022-01-07,Enero,2022,Línea 5,Boleto,4013
2022-01-07,Enero,2022,Línea 5,Prepago,0
2022-01-07,Enero,2022,Línea 5,Gratuidad,1453
2022-01-07,Enero,2022,Línea 6,Boleto,4892
2022-01-07,Enero,2022,Línea 6,Prepago,0
2022-01-07,Enero,2022,Línea 6,Gratuidad,1554
2022-01-07,Enero,2022,Línea 7,Boleto,18891
2022-01-07,Enero,2022,Línea 7,Prepago,1700
2022-01-07,Enero,2022,Línea 7,Gratuidad,5510
2022-01-07,Enero,2022,Línea 8,Boleto,0
2022-01-07,Enero,2022,Línea 8,Prepago,0
2022-01-07,Enero,2022,Línea 8,Gratuidad,0
2022-01-07,Enero,2022,Línea 9,Boleto,4049
2022-01-07,Enero,2022,Línea 9,Prepago,1772
2022-01-07,Enero,2022,Línea 9,Gratuidad,3379
2022-01-07,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-07,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-07,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-08,Enero,2022,Línea 1,Boleto,21537
2022-01-08,Enero,2022,Línea 1,Prepago,11963
2022-01-08,Enero,2022,Línea 1,Gratuidad,13944
2022-01-08,Enero,2022,Línea 1 Nochebús,Boleto,530
