fecha,mes,anio,linea,tipo_pago,afluencia
2022-02-11,Febrero,2022,Línea 2,Gratuidad,8131
2022-02-12,Febrero,2022,Línea 1,Prepago,36553
2022-02-12,Febrero,2022,Línea 1,Gratuidad,2721
2022-02-12,Febrero,2022,Línea 2,Prepago,59391
2022-02-12,Febrero,2022,Línea 2,Gratuidad,6103
2022-02-13,Febrero,2022,Línea 1,Prepago,27732
2022-02-13,Febrero,2022,Línea 1,Gratuidad,2718
2022-02-13,Febrero,2022,Línea 2,Prepago,43691
2022-02-13,Febrero,2022,Línea 2,Gratuidad,4860
2022-02-14,Febrero,2022,Línea 1,Prepago,40393
2022-02-14,Febrero,2022,Línea 1,Gratuidad,3629
2022-02-14,Febrero,2022,Línea 2,Prepago,60307
2022-02-14,Febrero,2022,Línea 2,Gratuidad,7311
2022-02-15,Febrero,2022,Línea 1,Prepago,38920
2022-02-15,Febrero,2022,Línea 1,Gratuidad,3437
2022-02-15,Febrero,2022,Línea 2,Prepago,58429
2022-02-15,Febrero,2022,Línea 2,Gratuidad,7351
2022-02-16,Febrero,2022,Línea 1,Prepago,39584
2022-02-16,Febrero,2022,Línea 1,Gratuidad,3279
2022-02-16,Febrero,2022,Línea 2,Prepago,59910
2022-02-16,Febrero,2022,Línea 2,Gratuidad,7313
2022-02-17,Febrero,2022,Línea 1,Prepago,40129
2022-02-17,Febrero,2022,Línea 1,Gratuidad,3944
2022-02-17,Febrero,2022,Línea 2,Prepago,59633
2022-02-17,Febrero,2022,Línea 2,Gratuidad,7461
2022-02-18,Febrero,2022,Línea 1,Prepago,41414
2022-02-18,Febrero,2022,Línea 1,Gratuidad,3565
2022-02-18,Febrero,2022,Línea 2,Prepago,62926
2022-02-18,Febrero,2022,Línea 2,Gratuidad,7457
2022-02-19,Febrero,2022,Línea 1,Prepago,39240
2022-02-19,Febrero,2022,Línea 1,Gratuidad,3211
2022-02-19,Febrero,2022,Línea 2,Prepago,60773
2022-02-19,Febrero,2022,Línea 2,Gratuidad,6700
2022-02-20,Febrero,2022,Línea 1,Prepago,29354
2022-02-20,Febrero,2022,Línea 1,Gratuidad,2215
2022-02-20,Febrero,2022,Línea 2,Prepago,46039
2022-02-20,Febrero,2022,Línea 2,Gratuidad,4589
2022-02-21,Febrero,2022,Línea 1,Prepago,40766
2022-02-21,Febrero,2022,Línea 1,Gratuidad,3973
2022-02-21,Febrero,2022,Línea 2,Prepago,60534
2022-02-21,Febrero,2022,Línea 2,Gratuidad,7165
2022-02-22,Febrero,2022,Línea 1,Prepago,41559
2022-02-22,Febrero,2022,Línea 1,Gratuidad,3607
2022-02-22,Febrero,2022,Línea 2,Prepago,61644
2022-02-22,Febrero,2022,Línea 2,Gratuidad,7309
2022-02-23,Febrero,2022,Línea 1,Prepago,41634
2022-02-23,Febrero,2022,Línea 1,Gratuidad,3873
2022-02-23,Febrero,2022,Línea 2,Prepago,62387
2022-02-23,Febrero,2022,Línea 2,Gratuidad,7802
2022-02-24,Febrero,2022,Línea 1,Prepago,41703
2022-02-24,Febrero,2022,Línea 1,Gratuidad,3394
2022-02-24,Febrero,2022,Línea 2,Prepago,61076
2022-02-24,Febrero,2022,Línea 2,Gratuidad,7554
2022-02-25,Febrero,2022,Línea 1,Prepago,42877
