fecha,mes,anio,servicio,tipo_pago,afluencia
2025-08-26,Agosto,2025,NOCHEBÚS,Prepago,354
2025-08-26,Agosto,2025,NOCHEBÚS,Gratuidad,40
2025-08-26,Agosto,2025,ORDINARIO,Boleto,0
2025-08-26,Agosto,2025,ORDINARIO,Prepago,50284
2025-08-26,Agosto,2025,ORDINARIO,Gratuidad,8434
2025-08-26,Agosto,2025,S/METRO,Boleto,4216
2025-08-26,Agosto,2025,S/METRO,Prepago,15882
2025-08-26,Agosto,2025,S/METRO,Gratuidad,3309
2025-08-26,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-26,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1535
2025-08-26,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,255
2025-08-27,Agosto,2025,ATENEA,Boleto,0
2025-08-27,Agosto,2025,ATENEA,Prepago,18306
2025-08-27,Agosto,2025,ATENEA,Gratuidad,3078
2025-08-27,Agosto,2025,ECOBÚS,Boleto,0
2025-08-27,Agosto,2025,ECOBÚS,Prepago,41482
2025-08-27,Agosto,2025,ECOBÚS,Gratuidad,6835
2025-08-27,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-27,Agosto,2025,EXPDIRECTO,Prepago,4419
2025-08-27,Agosto,2025,EXPDIRECTO,Gratuidad,727
2025-08-27,Agosto,2025,EXPRESO,Boleto,0
2025-08-27,Agosto,2025,EXPRESO,Prepago,105394
2025-08-27,Agosto,2025,EXPRESO,Gratuidad,17666
2025-08-27,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-27,Agosto,2025,NOCHEBÚS,Prepago,552
2025-08-27,Agosto,2025,NOCHEBÚS,Gratuidad,70
2025-08-27,Agosto,2025,ORDINARIO,Boleto,0
2025-08-27,Agosto,2025,ORDINARIO,Prepago,49368
2025-08-27,Agosto,2025,ORDINARIO,Gratuidad,8277
2025-08-27,Agosto,2025,S/METRO,Boleto,3851
2025-08-27,Agosto,2025,S/METRO,Prepago,14534
2025-08-27,Agosto,2025,S/METRO,Gratuidad,3034
2025-08-27,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-27,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1478
2025-08-27,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,241
2025-08-28,Agosto,2025,ATENEA,Boleto,0
2025-08-28,Agosto,2025,ATENEA,Prepago,19769
2025-08-28,Agosto,2025,ATENEA,Gratuidad,3303
2025-08-28,Agosto,2025,ECOBÚS,Boleto,0
2025-08-28,Agosto,2025,ECOBÚS,Prepago,41825
2025-08-28,Agosto,2025,ECOBÚS,Gratuidad,6908
2025-08-28,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-28,Agosto,2025,EXPDIRECTO,Prepago,4327
2025-08-28,Agosto,2025,EXPDIRECTO,Gratuidad,714
2025-08-28,Agosto,2025,EXPRESO,Boleto,0
2025-08-28,Agosto,2025,EXPRESO,Prepago,104788
2025-08-28,Agosto,2025,EXPRESO,Gratuidad,17571
2025-08-28,Agosto,2025,NOCHEBÚS,Boleto,0
